Chandler Parsons,MEM,SF,17th,10.6,31,18.8,25.44,19.31,56
James Ennis,MEM,SF,17th,0.9,25.3,25.2,19.53,11.37,57
Troy Daniels,MEM,SG,27th,0,23.4,17.4,3.03,1.94,16
Manu Ginobili,SAS,SG,18th,5.5,31.7,18.0,19.00,16.72,54
Joel Anthony,SAS,PF,27th,0,7.7,6.7,0.00,0.00,20
Danny Green,SAS,SG,18th,11.2,33.4,26.4,30.80,20.70,64
Patrick Mills,SAS,PG,25th,3.9,31.1,20.9,17.90,15.59,57
Davis Bertans,SAS,SF,22nd,0,23.3,11.8,8.90,7.51,12
Kyle Anderson,SAS,SG,22nd,0,22.8,13.8,9.00,7.19,21
Jonathon Simmons,SAS,SF,18th,5.1,29.7,17.5,19.00,15.64,45
Okaro White,MIA,PF,28th,0,23.9,15.6,14.50,8.32,8
Nene Hilario,HOU,C,7th,2.8,25.8,16.5,13.50,12.65,58
Derrick Jones Jr.,PHX,SF,25th,0,3.6,2.8,0.00,0.00,0
Tyler Ulis,PHX,PG,26th,0,14.3,9.2,0.00,0.00,0
Marquese Chriss,PHX,PF,28th,9.2,37.2,18.2,23.04,21.22,45
Alan Williams,PHX,C,29th,0,24.2,7.2,0.00,0.00,0
Georges Niang,IND,PF,30th,0,5.1,3.8,0.00,0.00,0
Richard Jefferson,CLE,SF,2nd,0,17.8,19.0,14.20,6.90,45
James Jones,CLE,SG,2nd,0,14.9,7.5,8.00,4.38,0
Jared Dudley,PHX,SF,28th,1.1,30.2,20.2,17.50,13.60,43
Leandro Barbosa,PHX,SG,17th,0,23.3,12.8,12.40,8.52,25
Channing Frye,CLE,PF,27th,17.9,47.2,17.8,30.16,30.43,50
Ivica Zubac,LAL,C,23rd,4.6,43.4,13.4,20.37,21.21,15
Joseph Young,IND,SG,17th,0,12.6,4.6,0.00,0.00,0
Rakeem Christmas,IND,PF,30th,0,7.2,2.8,0.00,0.00,0
Glenn Robinson III,IND,SF,13th,1.7,30.5,21.3,22.54,14.06,36
Corey Brewer,HOU,SG,9th,0,17.3,15.2,11.04,6.16,41
Sam Dekker,HOU,SF,9th,0,25.8,19.2,13.80,10.54,50
Montrezl Harrell,HOU,C,7th,0,28.2,18.9,10.34,8.23,43
Al Jefferson,IND,C,1st,4.9,28.8,14.1,13.60,15.16,56
Monta Ellis,IND,SG,28th,2.7,34.3,26.5,25.65,16.26,48
Rodney Stuckey,IND,PG,17th,1.3,31.7,18.6,18.00,14.36,39
Aaron Brooks,IND,PG,17th,0,13.6,14.1,0.00,0.00,35
Kevin Seraphin,IND,C,30th,7.9,35.4,11.6,26.46,19.66,24
Kris Humphries,ATL,PF,21st,0,16.4,11.6,0.00,0.00,23
