P.J. Tucker,PHX,SF,26.30,1.20,0.74,5.96,1.91,1.39,0.20,1.20,5.70
Tyler Zeller,BOS,C,11.00,2.24,0.00,2.48,0.52,0.12,0.30,0.62,5.61
Dante Exum,UTA,PG,15.15,1.46,0.61,1.54,1.49,0.24,0.12,1.03,5.59
Shabazz Napier,POR,PG,12.33,0.68,1.11,1.35,1.89,0.61,0.04,1.28,5.55
Jonathon Simmons,SA,SG,14.95,1.69,0.23,2.01,1.27,0.48,0.21,1.12,5.48
Devin Harris,DAL,PG,17.91,1.08,0.75,2.22,1.87,0.54,0.11,0.99,5.46
Jerami Grant,OKC,SF,19.04,1.61,0.34,2.91,0.97,0.42,0.90,1.10,5.41
Juancho Hernangomez,DEN,SF,17.59,0.98,0.81,4.54,0.78,0.68,0.48,0.71,5.37
Terry Rozier,BOS,PG,17.99,1.31,0.67,3.29,1.89,0.47,0.07,0.88,5.34
Andre Roberson,OKC,SF,30.59,1.77,0.50,5.44,1.00,1.05,0.86,0.90,5.31
Okara White,MIA,SF,17.17,0.90,0.70,3.31,0.67,0.26,0.36,0.89,5.24
Ed Davis,POR,PF,18.56,2.03,0.00,6.00,0.89,0.61,0.67,0.88,5.22
Tim Frazier,NO,PG,16.81,1.44,0.39,2.24,4.26,0.73,0.09,1.63,5.13
Donatas Motiejunas,NO,PF,16.66,1.52,0.41,3.30,1.35,0.48,0.27,1.51,5.08
Tyler Ulis,PHX,PG,10.45,1.85,0.26,1.06,1.59,0.51,0.03,1.08,5.06
Noah Vonleh,POR,PF,19.51,1.90,0.12,6.04,0.46,0.54,0.57,1.22,5.04
Mike Scott,ATL,PF,12.52,1.18,0.69,2.45,0.99,0.26,0.18,0.54,5.03
Aron Baynes,DET,C,11.72,1.81,0.00,3.04,0.28,0.17,0.37,0.66,4.96
Stanley Johnson,DET,SG,17.47,1.16,0.65,2.72,1.45,0.62,0.26,1.34,4.96
Reggie Bullock,DET,SG,14.28,0.71,1.00,2.11,1.09,0.39,0.12,0.43,4.92
Miles Plumlee,CHA,C,12.31,2.01,0.00,3.13,0.43,0.34,0.55,0.83,4.82
Beno Udrih,DET,PG,13.69,1.64,0.28,1.39,2.59,0.27,0.01,1.13,4.81
Mario Hezonja,ORL,SG,13.93,1.16,0.66,1.93,0.95,0.36,0.20,1.09,4.75
Bismack Biyombo,ORL,PF,18.22,1.75,0.00,5.51,0.71,0.24,1.03,1.07,4.70
Jason Terry,MIL,PG,16.32,0.41,1.17,1.33,1.76,0.52,0.21,0.61,4.70
DeAndre' Bembry,ATL,SG,14.12,1.82,0.09,2.55,1.25,0.31,0.23,0.69,4.65
Patrick McCaw,GSW,PG,14.28,0.64,0.95,1.56,1.67,0.38,0.28,0.71,4.60
Justin Anderson,DAL,SG,11.21,0.91,0.54,2.58,0.59,0.35,0.36,0.62,4.58
Boris Diaw,UTA,PF,15.16,1.69,0.19,2.18,1.87,0.21,0.10,1.25,4.55
Taurean Prince,ATL,SF,11.02,0.98,0.40,2.25,0.98,0.31,0.38,0.90,4.54
Jonas Jerebko,BOS,PF,18.12,1.05,0.63,4.13,0.96,0.31,0.25,0.88,4.46
Salah Mejri,DAL,C,15.07,1.79,0.00,4.96,0.32,0.44,1.16,0.91,4.39
CJ Watson,ORL,PG,20.26,1.03,0.43,2.04,2.64,0.70,0.06,1.08,4.31
Brian Roberts,CHA,PG,9.57,1.04,0.29,1.15,1.69,0.23,0.04,0.68,4.26
Andrew Nicholson,WAS,PF,8.01,1.17,0.34,1.92,0.30,0.18,0.23,0.44,4.15
Briante Weber,GSW,PG,17.58,1.68,0.05,2.89,2.68,0.91,0.32,1.11,4.09
Glenn Robinson III,IND,SG,21.61,0.94,0.50,3.80,0.80,0.56,0.32,0.80,4.05
Jarell Martin,MEM,PF,10.25,1.35,0.06,2.67,0.29,0.29,0.17,0.55,3.98
Kevin Seraphin,IND,C,8.62,1.80,0.00,2.02,0.56,0.09,0.36,0.58,3.90
Wesley Johnson,LAC,SF,13.11,0.81,0.60,2.36,0.41,0.54,0.34,0.42,3.80
Dorian Finney-Smith,DAL,SF,18.47,0.57,0.67,2.88,0.83,0.51,0.30,0.72,3.61
Pat Connaughton,POR,SG,9.43,0.83,0.48,1.87,1.04,0.23,0.08,0.60,3.58
Alan Anderson,LAC,SG,10.96,0.51,0.60,1.18,0.64,0.19,0.03,0.27,3.49
Damjan Rudez,ORL,PF,8.97,0.32,0.91,1.03,0.54,0.24,0.04,0.47,3.49
Damian Jones,GSW,C,6.94,1.30,0.01,2.53,0.21,0.20,0.33,1.25,3.48
Andrew Harrison,MEM,PG,13.36,0.52,0.37,1.34,2.06,0.48,0.29,0.74,3.37
Semaj Christon,OKC,PG,14.20,1.18,0.19,1.66,2.45,0.36,0.06,1.03,3.23
Joe Young,IND,PG,8.59,0.98,0.23,0.96,1.18,0.26,0.00,0.64,3.18
Luc Mbah a Moute,LAC,SF,18.52,0.86,0.17,2.08,0.39,0.83,0.33,0.63,2.89
Tomas Satoransky,WAS,SG,9.49,0.70,0.12,1.32,1.48,0.37,0.10,0.66,2.77
Kyle Anderson,SA,SG,12.42,0.94,0.08,2.73,1.24,0.60,0.31,0.76,2.73
Mike Miller,DEN,SF,12.21,0.20,0.70,1.99,1.78,0.37,0.12,0.95,2.65
Tim Quarterman,POR,SG,5.15,0.59,0.31,1.06,1.40,0.19,0.33,0.94,2.41
James Young,BOS,SG,8.33,0.33,0.47,1.23,0.43,0.23,0.02,0.28,2.29
